trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",20,0,-53.155981406996496,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",25,0,-41.04684408634442,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
72,False,"{'a': 0.002, 'e': 0.867621256485914}",20,0,-87.94009271578273,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",30,0,-204.09383540309238,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",25,0,-115.28656464864501,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",20,0,-190.9971539208236,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",25,0,-41.15913036309396,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",20,0,-26.238904917534892,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",20,0,-94.70093834770339,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",25,0,-83.97980355892729,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",20,0,-71.34243994561928,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",25,0,-56.064585388129025,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
82,False,"{'a': 0.002, 'e': 0.850441204540233}",30,0,-74.51516607492873,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",20,6,-35.02212187234636,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",20,0,-78.8256690385403,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
85,False,"{'a': 0.002, 'e': 0.8453538346846587}",25,0,-48.52001527777048,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
86,False,"{'a': 0.002, 'e': 0.8436648165963837}",30,0,-100.68089258491977,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
87,False,"{'a': 0.002, 'e': 0.8419791731684999}",25,0,-214.88212625254727,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
88,False,"{'a': 0.002, 'e': 0.8402968976584314}",25,7,-31.064523009850554,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
89,False,"{'a': 0.002, 'e': 0.838617983337074}",25,0,-149.0412260813448,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
90,False,"{'a': 0.002, 'e': 0.8369424234887681}",30,20,11.610316522545398,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.002, 'e': 0.835270211411272}",25,17,2.922678892024181,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.002, 'e': 0.8336013404157353}",30,0,-89.04350236422758,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
93,False,"{'a': 0.002, 'e': 0.8319358038266718}",30,0,-170.01885032849097,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
94,False,"{'a': 0.002, 'e': 0.8302735949819326}",20,14,8.548612575575543,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.002, 'e': 0.8286147072326806}",20,0,-32.812052534913775,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
96,False,"{'a': 0.002, 'e': 0.8269591339433623}",20,0,-87.92232162476647,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
97,False,"{'a': 0.002, 'e': 0.8253068684916823}",20,0,-70.31917767979411,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
98,False,"{'a': 0.002, 'e': 0.8236579042685769}",20,0,-101.43791283024201,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
99,False,"{'a': 0.002, 'e': 0.8220122346781865}",25,0,-21.13120851242082,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
